1,"venturesome , beautifully realized "
0,of self-congratulation between actor and director 
0,a pact to burn the negative and the script and pretend the whole thing never existed 
1,-- conrad l. hall 's cinematography will likely be nominated for an oscar next year -- 
0,that it makes your least favorite james bond movie seem as cleverly plotted as the usual suspects 
1,this clever and very satisfying picture 
0,"joyless , idiotic , annoying , heavy-handed "
0,i 'm left slightly disappointed that it did n't . 
1,she gradually makes us believe she is kahlo 
0,"feels at times like a giant commercial for universal studios , where much of the action takes place . "
1,"everett remains a perfect wildean actor , "
1,"from the margin that gives viewers a chance to learn , to grow , to travel "
1,and no one ) 
0,odd drama 
1,releasing 
0,as if de palma spent an hour setting a fancy table and then served up kraft macaroni and cheese 
0,an overexposed waste 
1,", funny humor "
0,loss and loneliness 
1,may have many agendas 
0,clichés and a dim 
1,bring the routine day to day struggles of the working class to life 
0,repetitive and 
0,lurid and less than lucid work . 
0,"the notion of deleting emotion from people , even in an advanced prozac nation , is so insanely dysfunctional that the rampantly designed equilibrium becomes a concept doofus . "
1,the charismatic jackie chan 
1,have to admit it 's semi-amusing to watch robert deniro belt out `` when you 're a jet 
0,desperate 
0,starts off promisingly but then proceeds to flop 
0,are paper thin 
0,its 112-minute length 
0,"a genteel , prep-school quality that feels dusty and leatherbound "
0,lee 's character did n't just go to a bank manager and save everyone the misery 
1,shines 
1,never lacks in eye-popping visuals 
1,fascinate 
1,blade 2 is definitely a cut above the rest . 
0,"a frustrating ` tweener ' -- too slick , "
1,the quirky and recessive charms of co-stars martin donovan and mary-louise parker help overcome the problematic script . 
0,is a lumbering load of hokum but 
1,found a cult favorite 
1,intermittently powerful study 
1,a pleasant enough dish 
1,fertile 
1,spellbinding serpent 's 
1,rich and sudden 
1,"as darkly funny , "
0,you wish he 'd gone the way of don simpson 
1,of the masterful british actor ian holm 
1,is that i truly enjoyed most of mostly martha while i ne 
1,"may not be a breakthrough in filmmaking , but it is unwavering and arresting "
1,of the most purely enjoyable and satisfying evenings at the movies i 've had in a while 
0,"surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue "
0,lousy guy ritchie imitation 
1,delivers more goodies than lumps of coal . 
0,a disappointment for a movie that should have been the ultimate imax trip 
0,"like a pack of dynamite sticks , built for controversy . "
1,weird that i honestly never knew what the hell was coming next 
1,'s a clarity of purpose and even-handedness 
1,results is the best performance from either in years 
1,a worthwhile documentary 
1,its electronic expression through cyber culture 
0,feels five hours long 
0,"low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , "
1,modernize it with encomia 
1,a vivid personality 
1,delectable 
1,with wit and originality 
0,never rises to its clever what-if concept . 
1,well-done 
1,especially clever 
0,"it 's coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate . "
1,is as consistently engaging as it is revealing . 
1,vivid personality 
0,banderas looks like he 's not trying to laugh at how bad 
0,", the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy . "
0,see nothing in it 
1,lifts blue crush into one of the summer 's most pleasurable movies 
0,a stab 
1,oddly fascinating depiction 
1,expecting 
0,"for most movies , 84 minutes is short , but "
1,"stereotypes in good fun , "
1,sharp movie 
1,"if good-hearted , movie . "
0,the worst 
0,clooney 's ) debut can be accused of being a bit undisciplined 
1,focus 
1,provocative stuff 
0,that frenetic spectacle ( on the tv show ) has usually been leavened by a charm that 's conspicuously missing from the girls ' big-screen blowout . 
1,of the pushiness and decibel volume of most contemporary comedies 
1,"though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia 's true emotions ... but at the very least , his secret life will leave you thinking "
0,"authentically vague , but ultimately purposeless , study "
0,can prevent its tragic waste of life 
0,vague without any of its sense of fun or energy 
1,extra points 
0,the typical hollywood disregard for historical truth and realism is at work here 
1,schneider 's performance is so fine 
0,one-star rating 
1,"an oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion . "
0,very stilted in its dialogue 
1,how good 
1,with its moving story 
0,turns a blind eye to the very history it pretends to teach 
1,rich and full 
1,"uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated . "
1,overall it 's an entertaining and informative documentary . 
1,"arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us . "
0,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . "
0,serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration 
1,genuine spontaneity 
1,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . "
0,", the only way for a reasonably intelligent person to get through the country bears is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky . "
1,that does everything but issue you a dog-tag and an m-16 
0,then proceeds to flop 
1,first film something of a sleeper success 
0,cheapo 
1,and it marks him as one of the most interesting writer/directors working today . 
0,"is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative "
1,to see this terrific film with your kids -- if you do n't have kids borrow some 
0,"too stagey , talky "
1,... one of the most entertaining monster movies in ages ... 
0,that the less charitable might describe as a castrated 
1,", intelligence and verve "
1,are the lively intelligence of the artists and their perceptiveness about their own situations 
0,", super troopers suffers because it does n't have enough vices to merit its 103-minute length . "
0,incredibly hokey 
1,is its most immediate and most obvious pleasure 
1,one of those unassuming films that sneaks up on you and stays with you long after you have left the theater 
1,wickedly funny 
0,it feels accidental 
1,an intriguing species 
0,"is n't a terrible movie , just a stultifyingly obvious one -- an unrewarding collar for a murder mystery "
0,"the performances are so overstated , the effect comes off as self-parody . "
1,"because , unlike so many other hollywood movies of its ilk , it offers hope "
0,pandering 
0,of every bad action-movie line in history 
1,in exploring an attraction that crosses sexual identity 
0,( a ) painfully flat gross-out comedy ... 
0,tiresome jokes 
0,flinging their feces at you 
0,i ca n't say this enough : this movie is about an adult male dressed in pink jammies . 
1,playfully 
1,revolutionary 
0,be consumed and forgotten 
1,fill this character study with poetic force and buoyant feeling 
1,persistence that is sure to win viewers ' hearts 
0,"repetitive arguments , schemes and treachery "
1,creates in maelstrom a world where the bizarre is credible and the real turns magical 
0,"tolerate this insipid , brutally clueless film "
0,implied in the title pokémon 4ever is terrifying 
0,"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes . "
0,what we get in feardotcom is more like something from a bad clive barker movie . 
1,a first-class road movie 
0,"lots of boring talking heads , etc. -- "
1,does n't mean you wo n't like looking at it 
1,"on people , a project in which the script and characters hold sway "
1,wonderous accomplishment 
1,will assuredly 
0,'s unlikely to become a household name on the basis of his first starring vehicle 
1,"nighttime manhattan , a loquacious videologue of the modern male and "
1,you realize there 's no place for this story to go but down 
1,"you feel good , "
0,linklater 
1,laugh their *** off for an hour-and-a-half 
1,"max pokes , provokes , takes expressionistic license and hits a nerve ... as far as art is concerned , it 's mission accomplished "
0,staggeringly unoriginal terms 
1,nifty premise 
0,"there 's some outrageously creative action in the transporter ... ( b ) ut by the time frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman . "
1,is undoubtedly one of the finest films of the year . 
1,dover kosashvili 's outstanding feature debut 
1,murphy 's expert comic timing 
1,clever makeup design 
1,combines a comically dismal social realism with a farcically bawdy fantasy of redemption and regeneration . 
0,"there 's an excellent 90-minute film here ; unfortunately , it runs for 170 . "
1,another trumpet blast that there may be a new mexican cinema a-bornin ' . ' 
1,is likely to find compelling 
1,interesting '' 
1,profoundly 
1,little $ 1.8 million charmer 
1,an interesting technical exercise 
0,"and in a sense , that 's a liability . "
0,those prone to indignation need not apply 
0,"plodding , peevish and gimmicky . "
1,"that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success "
0,is pretty much the same all over 
0,", its brain is a little scattered -- ditsy , even . "
0,"second , what 's with all the shooting ? "
0,fish-out-of-water formula 
0,there is only so much baked cardboard i need to chew . 
0,possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything 
1,though clearly well-intentioned 
1,be intriguing 
0,could n't help but feel the wasted potential of this slapstick comedy 
1,'s technically sumptuous but also almost wildly alive . 
1,found myself strangely moved by even the corniest and most hackneyed contrivances 
0,unnoticed and underappreciated 
0,"terminally bland , painfully slow "
1,amusing and unsettling 
0,"clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long "
1,the enigmatic mika and anna mouglalis 
0,such an irrepressible passion for sappy situations and dialogue 
0,"afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn "
1,exceedingly memorable one for most people 
0,worse than bland 
0,"is lightweight filmmaking , "
1,"an energizing , intoxicating documentary charting the rise of hip-hop culture in general and the art of scratching ( or turntablism ) in particular "
1,"a head-turner -- thoughtfully written , "
0,"necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy "
1,the proper conviction 
0,skins has a desolate air 
0,the pacing is often way off and there are too many bona fide groaners among too few laughs . 
1,better than the fiction 
1,once called ` the gift of tears 
1,thrillers actually thrilled 
1,more fascinating 
1,"subtle , humorous , illuminating study "
1,self-discovery 
0,vainly 
1,thoughtful and unflinching 
1,the abiding impression 
1,", is extraordinary . "
0,"the movie barely makes sense , with its unbelievable naïveté and arbitrary flashbacks . "
1,"the premise of `` abandon '' holds promise , ... "
1,"this is a big , juicy role "
1,compulsively watchable 
1,fine performances 
1,drumline is its energy 
1,its moving story 
0,serves as a rather thin moral 
1,is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents 
0,the kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly 
1,"it has its faults , but it is a kind , unapologetic , sweetheart of a movie , and mandy moore leaves a positive impression "
1,"about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it "
1,"it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation . "
1,a supremely kittenish performance 
1,two tedious acts light on great scares and a good surprise ending . 
0,is a gory slash-fest 
1,that makes the formula fresh again 
1,"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . "
0,"how many more times will indie filmmakers subject us to boring , self-important stories of how horrible we are to ourselves and each other ? "
1,the testosterone-charged wizardry of jerry bruckheimer productions 
1,", time of favor presents us with an action movie that actually has a brain . "
1,ourselves and 
1,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . "
1,"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way . "
0,have a hard time sitting through this one 
1,"'s back-stabbing , inter-racial desire and , most importantly , singing and dancing . "
0,plodding action sequences 
1,wonderful 
0,there is simply not enough of interest onscreen to sustain its seventy-minute running time . 
1,intelligent and moving . 
0,been lost in the mail 
1,for the best of hollywood 's comic-book 
1,"wendigo , larry fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films . "
1,'s never a dull moment in the giant spider invasion comic chiller 
1,young american 
0,"what it is supposed to be , but ca n't really call it a work of art "
0,"the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms. paltrow employs to authenticate her british persona is another liability "
0,many clichés 
0,a moving picture that does not move . 
1,", comfortable "
0,dismiss -- moody 
1,"elegant , "
1,the funniest and most accurate depiction 
1,madonna 's cameo does n't suck ! 
0,tykwer 's surface flash is n't just a poor fit with kieslowski 's lyrical pessimism 
1,"lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food "
